mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.89,"14 km SSE of Fern Forest, Hawaii",1727215037110,1727215210440,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74476272,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74476272&format=geojson,,,,,automatic,0,55,hv,74476272,",hv74476272,",",hv,",",origin,phase-data,",35.0,0.05441,0.230000004,181.0,ml,earthquake,"M 1.9 - 14 km SSE of Fern Forest, Hawaii"
1.27,"12 km SE of Hidden Valley Lake, CA",1727214995880,1727243032852,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75066326,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75066326&format=geojson,,,,,reviewed,0,25,nc,75066326,",nc75066326,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.04756,0.13,68.0,md,earthquake,"M 1.3 - 12 km SE of Hidden Valley Lake, CA"
1.12,"1 km ESE of Morgan, Utah",1727214649720,1727215333640,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80083346,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80083346&format=geojson,,,,,reviewed,0,19,uu,80083346,",uu80083346,",",uu,",",origin,phase-data,",17.0,0.01623,0.1,62.0,md,earthquake,"M 1.1 - 1 km ESE of Morgan, Utah"
0.77,"7 km NNW of The Geysers, CA",1727214349080,1727214512142,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75066316,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75066316&format=geojson,,,,,automatic,0,9,nc,75066316,",nc75066316,",",nc,",",nearby-cities,origin,phase-data,",13.0,0.003092,0.02,61.0,md,earthquake,"M 0.8 - 7 km NNW of The Geysers, CA"
0.12,"3 km ESE of The Geysers, CA",1727214266860,1727241737526,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75066311,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75066311&format=geojson,,,,,reviewed,0,0,nc,75066311,",nc75066311,",",nc,",",nearby-cities,origin,phase-data,",16.0,0.01126,0.02,55.0,md,earthquake,"M 0.1 - 3 km ESE of The Geysers, CA"
2.0,"32 km NW of Nanwalek, Alaska",1727214090358,1727214193911,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbkryqz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbkryqz&format=geojson,,,,,automatic,0,62,ak,024cbkryqz,",ak024cbkryqz,",",ak,",",origin,phase-data,",,,0.3,,ml,earthquake,"M 2.0 - 32 km NW of Nanwalek, Alaska"
1.9,"52 km N of Chase, Alaska",1727213991742,1727214066695,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbkrkyu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbkrkyu&format=geojson,,,,,automatic,0,56,ak,024cbkrkyu,",ak024cbkrkyu,",",ak,",",origin,phase-data,",,,0.13,,ml,earthquake,"M 1.9 - 52 km N of Chase, Alaska"
-0.79,"87 km ESE of King Salmon, Alaska",1727213918750,1727227552870,,https://earthquake.usgs.gov/earthquakes/eventpage/av93022199,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93022199&format=geojson,,,,,reviewed,0,0,av,93022199,",av93022199,",",av,",",origin,phase-data,",6.0,0.05542,0.08,168.0,ml,earthquake,"M -0.8 - 87 km ESE of King Salmon, Alaska"
1.5,"32 km WSW of Mentone, Texas",1727213770768,1727254134818,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024svme,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024svme&format=geojson,,,,,reviewed,0,35,tx,2024svme,",tx2024svme,",",tx,",",origin,phase-data,",17.0,0.0,0.2,63.0,ml,earthquake,"M 1.5 - 32 km WSW of Mentone, Texas"
0.8,"18 km W of Searles Valley, CA",1727213169370,1727220082107,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744551,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744551&format=geojson,,,,,reviewed,0,10,ci,40744551,",ci40744551,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.1304,0.14,67.0,ml,earthquake,"M 0.8 - 18 km W of Searles Valley, CA"
1.8,"57 km S of Whites City, New Mexico",1727212482032,1727250875559,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024svll,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024svll&format=geojson,,,,,reviewed,0,50,tx,2024svll,",tx2024svll,",",tx,",",origin,phase-data,",20.0,0.0,0.3,70.0,ml,earthquake,"M 1.8 - 57 km S of Whites City, New Mexico"
1.7,"42 km W of Kalifornsky, Alaska",1727211802120,1727211927623,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbkjswk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbkjswk&format=geojson,,,,,automatic,0,44,ak,024cbkjswk,",ak024cbkjswk,",",ak,",",origin,phase-data,",,,0.29,,ml,earthquake,"M 1.7 - 42 km W of Kalifornsky, Alaska"
0.79,"24 km ESE of Julian, CA",1727210473130,1727289908849,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744495,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744495&format=geojson,,,,,reviewed,0,10,ci,40744495,",ci40744495,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.05232,0.15,70.0,ml,earthquake,"M 0.8 - 24 km ESE of Julian, CA"
1.3,"48 km E of Fort Bidwell, California",1727210016877,1727222374438,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885125,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00885125&format=geojson,,,,,reviewed,0,26,nn,00885125,",nn00885125,",",nn,",",origin,phase-data,",4.0,0.543,0.1409,210.90999999999997,ml,earthquake,"M 1.3 - 48 km E of Fort Bidwell, California"
1.5,"48 km WNW of Nanwalek, Alaska",1727209385590,1727209485472,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbk2mcf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbk2mcf&format=geojson,,,,,automatic,0,35,ak,024cbk2mcf,",ak024cbk2mcf,",",ak,",",origin,phase-data,",,,0.17,,ml,earthquake,"M 1.5 - 48 km WNW of Nanwalek, Alaska"
0.81,"23 km SW of Ocotillo Wells, CA",1727209239330,1727222568257,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744471,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744471&format=geojson,,,,,reviewed,0,10,ci,40744471,",ci40744471,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.0318,0.14,47.0,ml,earthquake,"M 0.8 - 23 km SW of Ocotillo Wells, CA"
1.7,"5 km SSW of Minto, Alaska",1727208718732,1727208841966,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbk05up,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbk05up&format=geojson,,,,,automatic,0,44,ak,024cbk05up,",ak024cbk05up,",",ak,",",origin,phase-data,",,,0.76,,ml,earthquake,"M 1.7 - 5 km SSW of Minto, Alaska"
0.62,"14 km NE of Ashford, Washington",1727208533360,1727324925750,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62049676,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62049676&format=geojson,,,,,reviewed,0,6,uw,62049676,",uw62049676,",",uw,",",origin,phase-data,",21.0,0.01992,0.08,77.0,ml,earthquake,"M 0.6 - 14 km NE of Ashford, Washington"
1.47,"23 km NNW of Wisdom, Montana",1727208210680,1727273394220,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90062358,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90062358&format=geojson,,,,,reviewed,0,33,mb,90062358,",mb90062358,",",mb,",",origin,phase-data,",13.0,0.08755,0.12,137.0,ml,earthquake,"M 1.5 - 23 km NNW of Wisdom, Montana"
1.58,"8 km N of Kendrick, Oklahoma",1727207807270,1727269065985,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2024sviu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2024sviu&format=geojson,,,,,reviewed,0,38,ok,2024sviu,",ok2024sviu,",",ok,",",origin,phase-data,",93.0,0.0,0.24,34.0,ml,earthquake,"M 1.6 - 8 km N of Kendrick, Oklahoma"
1.14,"3 km NW of Green Acres, CA",1727207520980,1727288754558,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744431,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744431&format=geojson,,,,,reviewed,0,20,ci,40744431,",ci40744431,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.05572,0.24,95.0,ml,quarry blast,"M 1.1 Quarry Blast - 3 km NW of Green Acres, CA"
0.26,"87 km SSE of Kokhanok, Alaska",1727207505470,1727226437850,,https://earthquake.usgs.gov/earthquakes/eventpage/av93022189,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93022189&format=geojson,,,,,reviewed,0,1,av,93022189,",av93022189,",",av,",",origin,phase-data,",5.0,0.08915,0.1,258.0,ml,earthquake,"M 0.3 - 87 km SSE of Kokhanok, Alaska"
0.37,"149 km W of Adak, Alaska",1727207381860,1727221595520,,https://earthquake.usgs.gov/earthquakes/eventpage/av93284738,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93284738&format=geojson,,,,,reviewed,0,2,av,93284738,",av93284738,",",av,",",origin,phase-data,",5.0,0.01816,0.08,162.0,ml,earthquake,"M 0.4 - 149 km W of Adak, Alaska"
0.37,"151 km W of Adak, Alaska",1727207381700,1727225050390,,https://earthquake.usgs.gov/earthquakes/eventpage/av93284733,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93284733&format=geojson,,,,,reviewed,0,2,av,93284733,",av93284733,",",av,",",origin,phase-data,",5.0,0.02363,0.23,140.0,ml,earthquake,"M 0.4 - 151 km W of Adak, Alaska"
3.4,"18 km NNE of Alausí, Ecuador",1727206919897,1727210661040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ng0b,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ng0b&format=geojson,,,,,reviewed,0,178,us,7000ng0b,",us7000ng0b,",",us,",",origin,phase-data,",10.0,0.557,0.33,95.0,ml,earthquake,"M 3.4 - 18 km NNE of Alausí, Ecuador"
1.22,"2 km ESE of Home Gardens, CA",1727206885390,1727287921766,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744415,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744415&format=geojson,,,,,reviewed,0,23,ci,40744415,",ci40744415,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.07409,0.3,60.0,ml,quarry blast,"M 1.2 Quarry Blast - 2 km ESE of Home Gardens, CA"
1.44,"16 km NNE of Apple Valley, CA",1727206862250,1727287071995,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744407,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744407&format=geojson,,,,,reviewed,0,32,ci,40744407,",ci40744407,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.2079,0.16,47.0,ml,quarry blast,"M 1.4 Quarry Blast - 16 km NNE of Apple Valley, CA"
0.49,"12 km NNE of Cabazon, CA",1727206405320,1727300173458,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744399,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744399&format=geojson,,,,,reviewed,0,4,ci,40744399,",ci40744399,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.06877,0.14,215.0,ml,earthquake,"M 0.5 - 12 km NNE of Cabazon, CA"
0.05,"41 km NE of Adak, Alaska",1727205884620,1727224843460,,https://earthquake.usgs.gov/earthquakes/eventpage/av93284708,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93284708&format=geojson,,,,,reviewed,0,0,av,93284708,",av93284708,",",av,",",origin,phase-data,",4.0,0.02337,0.31,226.0,ml,earthquake,"M 0.1 - 41 km NE of Adak, Alaska"
0.7,"18 km ESE of Anza, CA",1727205787450,1727210913101,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744383,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744383&format=geojson,,,,,reviewed,0,8,ci,40744383,",ci40744383,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",35.0,0.07903,0.17,56.0,ml,earthquake,"M 0.7 - 18 km ESE of Anza, CA"
-0.3,"48 km ESE of Beatty, Nevada",1727205368198,1727278060666,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885142,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00885142&format=geojson,,,,,reviewed,0,0,nn,00885142,",nn00885142,",",nn,",",origin,phase-data,",12.0,0.061,0.0762,102.20999999999998,ml,earthquake,"M -0.3 - 48 km ESE of Beatty, Nevada"
1.43,"13 km NE of Yountville, CA",1727205196870,1727244298810,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75066286,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75066286&format=geojson,,,,,reviewed,0,31,nc,75066286,",nc75066286,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",44.0,0.07206,0.14,75.0,md,earthquake,"M 1.4 - 13 km NE of Yountville, CA"
0.95,"12 km E of Cloverdale, CA",1727204902130,1727207073328,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75066281,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75066281&format=geojson,,,,,automatic,0,14,nc,75066281,",nc75066281,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.002843,0.02,121.0,md,earthquake,"M 1.0 - 12 km E of Cloverdale, CA"
2.29,"10 km SSE of Lamboglia, Puerto Rico",1727204775340,1727207135170,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71461133,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71461133&format=geojson,,,,,reviewed,0,81,pr,71461133,",pr71461133,",",pr,",",origin,phase-data,",6.0,0.1622,0.07,239.0,md,earthquake,"M 2.3 - 10 km SSE of Lamboglia, Puerto Rico"
1.7,"29 km WSW of Hope, Alaska",1727203608830,1727203826480,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbj0rxv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbj0rxv&format=geojson,1.0,3.1,,,automatic,0,45,ak,024cbj0rxv,",ak024cbj0rxv,",",ak,",",dyfi,origin,phase-data,",,,0.44,,ml,earthquake,"M 1.7 - 29 km WSW of Hope, Alaska"
1.6500000000000001,"13 km S of Culp Creek, Oregon",1727202591090,1727215893150,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62049656,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62049656&format=geojson,,,,,reviewed,0,42,uw,62049656,",uw62049656,",",uw,",",origin,phase-data,",17.0,0.1783,0.17,110.0,ml,explosion,"M 1.7 Explosion - 13 km S of Culp Creek, Oregon"
1.32,"24 km SW of Ocotillo Wells, CA",1727202579540,1727210936103,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744351,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744351&format=geojson,,,,,reviewed,0,27,ci,40744351,",ci40744351,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",58.0,0.03061,0.19,38.0,ml,earthquake,"M 1.3 - 24 km SW of Ocotillo Wells, CA"
1.3,"29 km ESE of Pleasant Valley, Alaska",1727202083876,1727202197017,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbivd43,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbivd43&format=geojson,,,,,automatic,0,26,ak,024cbivd43,",ak024cbivd43,",",ak,",",origin,phase-data,",,,0.43,,ml,earthquake,"M 1.3 - 29 km ESE of Pleasant Valley, Alaska"
1.16,"19 km NW of Grapevine, CA",1727201804500,1727300387177,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744327,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744327&format=geojson,,,,,reviewed,0,21,ci,40744327,",ci40744327,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.1859,0.19,80.0,ml,earthquake,"M 1.2 - 19 km NW of Grapevine, CA"
-0.66,"80 km W of Salamatof, Alaska",1727201644390,1727226179440,,https://earthquake.usgs.gov/earthquakes/eventpage/av93022184,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93022184&format=geojson,,,,,reviewed,0,0,av,93022184,",av93022184,",",av,",",origin,phase-data,",7.0,0.04105,0.05,84.0,ml,earthquake,"M -0.7 - 80 km W of Salamatof, Alaska"
1.72,"19 km NW of Grapevine, CA",1727201074930,1727286550698,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744319,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744319&format=geojson,,,,,reviewed,0,46,ci,40744319,",ci40744319,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",37.0,0.008876,0.23,72.0,ml,earthquake,"M 1.7 - 19 km NW of Grapevine, CA"
1.9,"59 km SSW of Whites City, New Mexico",1727200657526,1727268966225,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024svfn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024svfn&format=geojson,,,,,reviewed,0,56,tx,2024svfn,",tx2024svfn,",",tx,",",origin,phase-data,",21.0,0.0,0.2,71.0,ml,earthquake,"M 1.9 - 59 km SSW of Whites City, New Mexico"
-0.44,"80 km W of Salamatof, Alaska",1727200608060,1727222288860,,https://earthquake.usgs.gov/earthquakes/eventpage/av93284633,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93284633&format=geojson,,,,,reviewed,0,0,av,93284633,",av93284633,",",av,",",origin,phase-data,",8.0,0.04102,0.08,73.0,ml,earthquake,"M -0.4 - 80 km W of Salamatof, Alaska"
0.53,"24 km ESE of Julian, CA",1727200581330,1727220907285,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744303,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744303&format=geojson,,,,,reviewed,0,4,ci,40744303,",ci40744303,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.05743,0.16,109.0,ml,earthquake,"M 0.5 - 24 km ESE of Julian, CA"
1.3,"21 km ESE of Chickaloon, Alaska",1727200480574,1727200595572,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbih1fd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbih1fd&format=geojson,,,,,automatic,0,26,ak,024cbih1fd,",ak024cbih1fd,",",ak,",",origin,phase-data,",,,0.49,,ml,earthquake,"M 1.3 - 21 km ESE of Chickaloon, Alaska"
1.67,"3 km SW of Clayton, CA",1727200433380,1727221007807,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75066236,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75066236&format=geojson,,,,,reviewed,0,43,nc,75066236,",nc75066236,",",nc,",",nearby-cities,origin,phase-data,",14.0,0.02765,0.08,69.0,md,quarry blast,"M 1.7 Quarry Blast - 3 km SW of Clayton, CA"
0.77,"4 km NE of Moreno Valley, CA",1727200113580,1727216543890,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744295,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744295&format=geojson,,,,,reviewed,0,9,ci,40744295,",ci40744295,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.09434,0.18,72.0,ml,earthquake,"M 0.8 - 4 km NE of Moreno Valley, CA"
1.3,"12 km SSE of Skwentna, Alaska",1727200073833,1727200146631,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbifkfr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbifkfr&format=geojson,,,,,automatic,0,26,ak,024cbifkfr,",ak024cbifkfr,",",ak,",",origin,phase-data,",,,0.12,,ml,earthquake,"M 1.3 - 12 km SSE of Skwentna, Alaska"
1.87,"15 km W of Cantua Creek, CA",1727199865860,1727253278421,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75066226,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75066226&format=geojson,,,,,reviewed,0,54,nc,75066226,",nc75066226,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",38.0,0.1559,0.11,111.0,md,earthquake,"M 1.9 - 15 km W of Cantua Creek, CA"
